I_D,FLAG_TSUNAMI,YEAR,EQ_PRIMARY,COUNTRY,LATITUDE,LONGITUDE,REGION_CODE,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
1329,,1754,,EGYPT,30.8,31,15,40000,4,,,,,,,,,,
5908,Tsu,1754,,INDONESIA,-3.5,128.5,170,,,,,,,,,,,,
1331,,1755,6.5,CHINA,24.7,102.2,30,270,3,,,80,2,,3,4040,4,,
1332,,1755,6,CHINA,23.8,102.7,30,70,2,,,20,1,,2,700,3,,
1333,,1755,,SERBIA,42.5,21.9,130,,,,,,,,,,,,
1334,,1755,7,ECUADOR,-0.2,-78.5,160,,,,,,,,,,,,
1336,,1755,,IRAN,34,51.5,140,,,,,,,,,,,,
1339,Tsu,1755,8.5,PORTUGAL,37,-10,130,50000,4,,,,,,4,,,,
5828,Tsu,1755,7,USA,42.7,-70.3,150,,,,,,,,,,,,
1342,,1755,,MOROCCO,34.08,-5,15,3000,4,,,,,,3,,,,
1343,,1755,,SWITZERLAND,46.3,8,120,,,,,,,,,,,,
7939,Tsu,1756,,PORTUGAL,38.7,-9,130,,,,,,,,,,,,
1345,,1757,7,ECUADOR,-0.9,-78.6,160,,,,,,,,,,,,
1346,,1757,,MOROCCO,34,-6.8,15,3000,4,,,,,,3,,,,
1347,,1757,,CROATIA,45.8,17.4,130,,,,,,,,,,,,
1348,Tsu,1757,,AZORES (PORTUGAL),38.65,-28.08,130,1053,4,,,,,,3,,4,,
1350,,1757,,ITALY,39.3,16.2,130,,,,,,,,,,,,
7889,Tsu,1757,,UK,49.92,-6.32,120,,,,,,,,,,,,
1351,,1757,,ITALY,37,15,130,,,,,,,,,,,,
6028,Tsu,1757,7.5,INDONESIA,-6,107,60,,,,,,,,,,,,
1353,,1758,,TUNISIA,36.8,10.2,15,3000,4,,,,,,3,,3,,
1354,,1758,,AZORES (PORTUGAL),37,-26,130,,,,,,,,,,,,
1356,,1759,,ITALY,44.9,7.3,130,,,,,,,,,,,,
1357,,1759,,GREECE,38,20.5,130,,,,,,,,,,,,
1358,,1759,,GREECE,41,24,130,,,,,,,,,,,,
